EmployeeID,EmployeeName,Age,Gender,Location,Department,Role,YearsAtCompany,DateOfJoining,YearsInCurrentRole,EducationLevel,MonthlySalaryINR,WorkHoursPerWeek,ProjectsHandled,TrainingHoursLastYear,SickLeavesLastYear,OvertimeHoursLastMonth,ManagerRating,DisciplinaryNotices,PolicyViolationsLastYear,PerformanceRating,PromotionLast2Years,ComplianceRiskLevel,AttritionRisk
12689,Shweta Kumar,52,Female,Hyderabad,IT Support,Team Lead,8,9/18/2017,3,Diploma,136148,47,1,114,3,7,4,1,0,3,No,Low,Low
12690,Vivek Iyer,44,Female,Pune,Finance,Engineer,2,7/30/2023,1,Diploma,57274,53,11,64,1,7,2,0,0,2,No,Low,Low
12691,Pooja Kumar,46,Male,Bangalore,Engineering,Team Lead,6,12/7/2019,2,Bachelor,101014,54,2,11,14,7,3,0,1,2,No,Medium,Low
12692,Prashant Rao,29,Female,Mumbai,Sales,Executive,2,11/6/2023,2,Diploma,31741,59,9,105,13,36,4,0,0,2,Yes,Low,Low
12693,Ritu Patel,24,Male,Mumbai,Engineering,Executive,2,10/10/2023,2,Master,30195,48,4,24,1,30,3,0,0,1,No,Low,High
12694,Tanya Khanna,43,Female,Noida,Compliance,Analyst,1,12/30/2024,0,Bachelor,30413,53,4,39,13,26,1,0,1,1,No,Medium,Medium
12695,Anjali Bansal,41,Female,Gurgaon,Legal,Executive,1,9/8/2024,1,Master,38679,42,1,65,4,9,2,0,0,1,No,Low,Medium
12696,Shweta Mukherjee,34,Male,Bangalore,HR,Senior Engineer,8,9/7/2017,5,Master,129131,57,8,21,4,16,4,2,2,2,No,High,Medium
12697,Vikas Ghosh,35,Male,Noida,Operations,Senior Manager,12,1/5/2014,0,Bachelor,281572,59,7,47,10,10,5,0,0,2,No,Low,Low
12698,Simran Iyer,47,Male,Noida,Compliance,Senior Engineer,8,12/4/2017,0,Master,90984,40,5,12,9,18,5,1,1,2,No,Medium,Medium
12699,Vivek Mehta,49,Female,Chennai,Compliance,Manager,11,10/19/2014,4,Master,188137,55,9,33,2,11,5,0,1,3,Yes,Low,Low
12700,Vivek Ghosh,60,Male,Pune,Finance,Senior Manager,24,1/15/2002,1,Master,190895,40,10,9,11,38,5,0,0,2,Yes,Low,Medium
12701,Vivek Banerjee,24,Male,Ahmedabad,IT Support,Analyst,1,8/8/2024,1,Master,35072,40,4,81,5,13,3,0,0,1,No,Low,Medium
12702,Deepak Patel,44,Female,Mumbai,IT Support,Senior Engineer,8,10/9/2017,0,Master,115145,40,8,24,6,18,3,0,2,1,No,High,Medium
12703,Riya Tiwari,29,Female,Mumbai,IT Support,Senior Engineer,6,12/23/2019,0,Diploma,120311,53,7,72,1,11,2,1,0,1,No,Low,Low
12704,Manish Rao,37,Male,Pune,Sales,Executive,0,9/13/2025,0,Diploma,39389,41,3,69,6,23,3,0,1,1,No,Medium,High
12705,Kavita Kulkarni,34,Male,Ahmedabad,Operations,Senior Engineer,4,11/18/2021,0,Bachelor,120033,52,6,85,6,27,2,0,0,1,No,Medium,Low
12706,Nikhil Agarwal,29,Male,Hyderabad,Legal,Engineer,4,11/16/2021,2,Bachelor,45254,58,1,14,4,14,2,1,0,1,No,Low,Medium
12707,Kavita Khanna,36,Male,Gurgaon,Compliance,Manager,13,12/14/2012,2,Master,217677,46,4,12,9,3,4,0,0,2,Yes,Low,Low
12708,Nikhil Bansal,64,Male,Noida,Marketing,Senior Manager,23,8/12/2002,2,Bachelor,230266,52,1,66,13,14,5,0,0,3,Yes,Low,Low
12709,Pooja Das,40,Female,Chennai,Sales,Senior Engineer,6,1/10/2020,1,Master,106382,46,8,36,0,26,3,1,0,2,No,Low,Medium
12710,Riya Chatterjee,35,Male,Hyderabad,IT Support,Engineer,5,10/13/2020,3,Bachelor,51884,41,3,99,12,28,4,2,0,2,No,Medium,Medium
12711,Karan Tripathi,39,Female,Bangalore,Sales,Engineer,5,11/18/2020,3,Bachelor,69133,51,5,35,8,27,3,0,0,2,No,Low,Low
12712,Akash Das,39,Female,Hyderabad,Finance,Engineer,2,1/7/2024,0,Diploma,48756,49,6,92,7,37,2,0,0,2,No,Low,Medium
12713,Rakesh Saxena,24,Female,Chennai,Engineering,Executive,2,8/23/2023,1,Bachelor,26881,48,3,114,6,2,3,0,1,1,No,Low,Medium
12714,Nikhil Reddy,34,Male,Chennai,Engineering,Engineer,4,11/24/2021,1,Master,88776,42,6,119,13,18,3,1,1,2,No,Medium,Low
12715,Varun Patel,34,Female,Ahmedabad,Engineering,Team Lead,12,10/14/2013,2,Bachelor,152393,50,2,76,11,1,5,0,0,3,Yes,Low,Low
12716,Deepak Sharma,30,Male,Mumbai,Legal,Engineer,2,8/14/2023,2,Bachelor,78617,41,2,39,1,0,2,0,0,1,No,Low,High
12717,Ankit Deshpande,51,Female,Chennai,Operations,Team Lead,11,12/24/2014,4,Bachelor,107532,49,11,59,14,15,5,1,0,3,No,Medium,Low
12718,Sunita Banerjee,38,Male,Ahmedabad,Sales,Senior Engineer,8,9/6/2017,0,Bachelor,97140,52,11,61,11,35,4,0,0,2,Yes,Low,Medium
12719,Rohit Joshi,43,Female,Pune,Operations,Executive,1,9/27/2024,0,Master,36221,43,6,20,13,9,3,0,0,1,No,Low,Medium
12720,Ritu Mukherjee,39,Male,Bangalore,Finance,Analyst,1,10/10/2024,1,Diploma,49767,40,9,58,12,38,3,0,0,2,Yes,Medium,Low
12721,Pooja Singh,32,Male,Pune,Operations,Analyst,2,11/15/2023,2,Bachelor,48839,51,6,88,7,24,2,1,0,2,Yes,Low,Low
12722,Isha Tripathi,24,Female,Pune,Sales,Engineer,1,10/30/2024,0,Bachelor,56784,46,7,111,0,5,3,0,0,2,No,Low,Medium
12723,Rahul Pandey,25,Female,Gurgaon,Marketing,Engineer,3,7/30/2022,2,Bachelor,57904,43,11,71,5,17,3,1,0,2,Yes,Low,Medium
12724,Ankit Kumar,42,Male,Hyderabad,HR,Manager,12,8/5/2013,2,Master,188428,41,9,56,11,16,4,0,2,2,No,High,High
12725,Rakesh Banerjee,45,Male,Hyderabad,HR,Senior Engineer,7,12/4/2018,4,Bachelor,128175,49,11,97,6,12,3,0,2,2,No,Medium,Low
12726,Aarti Joshi,27,Male,Pune,Sales,Executive,2,10/25/2023,2,Bachelor,38210,43,8,92,10,15,3,2,0,1,No,Low,Medium
12727,Akash Tripathi,41,Female,Hyderabad,Engineering,Senior Engineer,7,10/11/2018,5,Bachelor,88525,58,1,100,3,30,3,0,1,1,No,Low,High
12728,Pooja Bansal,28,Female,Hyderabad,Finance,Analyst,1,11/15/2024,0,Bachelor,40063,58,11,16,0,36,2,0,1,1,No,Medium,Medium
12729,Seema Joshi,40,Female,Ahmedabad,Finance,Senior Engineer,4,8/16/2021,3,Bachelor,105702,54,10,118,11,26,3,0,0,2,No,Low,Medium
12730,Nikhil Chatterjee,51,Female,Chennai,Legal,Senior Engineer,8,11/10/2017,1,Bachelor,118483,48,4,85,5,15,4,0,0,3,No,Low,Low
12731,Sunita Pandey,33,Female,Delhi,Marketing,Executive,0,1/16/2026,0,Diploma,25162,53,1,79,9,18,2,0,0,2,No,Low,Low
12732,Pallavi Deshpande,34,Male,Hyderabad,Engineering,Manager,12,12/20/2013,4,Bachelor,149109,54,4,40,6,33,5,0,0,2,No,Low,Medium
12733,Isha Bansal,31,Male,Chennai,IT Support,Executive,1,11/4/2024,1,Bachelor,25767,50,10,66,14,12,3,0,2,1,No,High,High
12734,Pooja Ghosh,36,Male,Pune,Engineering,Engineer,2,10/6/2023,0,Diploma,77857,46,2,90,11,16,3,0,0,2,No,Low,Low
12735,Sanjay Agarwal,43,Female,Pune,IT Support,Manager,8,10/5/2017,2,Bachelor,169217,42,3,114,11,29,3,0,2,1,No,High,Medium
12736,Rakesh Chopra,42,Female,Delhi,IT Support,Senior Engineer,6,8/17/2019,5,Bachelor,125002,48,6,105,6,31,4,1,0,2,Yes,Low,Low
12737,Simran Sharma,24,Female,Pune,Operations,Engineer,2,8/26/2023,0,Bachelor,79549,45,11,92,1,13,3,0,2,2,No,Medium,Low
12738,Anjali Mukherjee,47,Male,Hyderabad,Sales,Senior Manager,20,11/6/2005,1,Bachelor,194577,49,10,46,2,28,4,1,0,3,Yes,Medium,Low
12739,Deepak Saxena,37,Male,Pune,Engineering,Engineer,3,9/5/2022,1,Master,81980,40,7,75,2,16,2,0,1,1,No,Low,Low
12740,Akash Pandey,49,Female,Mumbai,Marketing,Engineer,5,8/26/2020,3,Master,88854,54,5,37,11,11,4,0,0,3,Yes,Low,Low
12741,Neha Singh,37,Male,Hyderabad,Marketing,Executive,0,8/19/2025,0,Master,31693,45,3,17,7,14,4,0,2,2,No,High,Medium
12742,Deepak Jain,43,Female,Bangalore,Sales,Engineer,5,10/6/2020,5,Bachelor,62414,54,3,49,6,39,4,1,1,2,No,Medium,Low
12743,Prashant Bansal,46,Male,Mumbai,Marketing,Analyst,2,1/18/2024,2,Diploma,40781,51,11,119,14,29,3,1,1,2,No,Medium,Medium
12744,Ashish Ghosh,35,Female,Bangalore,Sales,Analyst,3,8/6/2022,3,Bachelor,55003,54,11,68,12,16,2,0,1,1,No,Medium,Medium
12745,Sunita Rao,46,Female,Ahmedabad,Marketing,Engineer,3,11/22/2022,1,Diploma,55260,50,1,32,7,9,4,0,0,2,Yes,Low,Medium
12746,Varun Das,24,Female,Noida,Legal,Executive,1,1/21/2025,1,Master,24473,44,3,28,1,14,2,0,1,2,No,Low,Low
12747,Priya Pandey,44,Female,Hyderabad,Engineering,Senior Engineer,4,9/29/2021,2,Bachelor,102676,50,8,100,14,11,3,1,0,2,No,Medium,Medium
12748,Rohit Mehta,35,Other,Gurgaon,Legal,Team Lead,10,1/21/2016,3,Bachelor,145686,55,2,19,11,7,5,0,1,4,Yes,Low,Low
12749,Gaurav Chatterjee,46,Male,Hyderabad,HR,Senior Engineer,8,9/7/2017,2,Diploma,92324,44,10,115,5,22,4,1,0,3,No,Low,Low
12750,Vivek Jain,30,Male,Delhi,Finance,Team Lead,6,8/29/2019,2,Diploma,138601,54,1,79,5,15,4,0,0,2,No,Low,Medium
12751,Nisha Kumar,36,Female,Pune,Marketing,Team Lead,8,9/2/2017,1,Diploma,134019,58,1,83,7,27,3,0,0,2,Yes,Low,Low
12752,Kavita Sharma,41,Male,Mumbai,HR,Engineer,5,8/14/2020,2,Master,60921,54,2,93,4,26,3,1,1,2,No,Medium,Medium
12753,Rahul Iyer,50,Female,Mumbai,Finance,Manager,15,11/5/2010,5,Bachelor,165741,58,2,103,14,21,4,0,1,2,No,Medium,Medium
12754,Gaurav Kumar,42,Male,Gurgaon,Operations,Manager,15,10/27/2010,2,Bachelor,144412,40,11,35,11,30,4,1,0,2,Yes,Low,Medium
12755,Ritu Kumar,47,Male,Ahmedabad,Engineering,Senior Engineer,9,1/9/2017,4,Bachelor,111128,48,10,101,5,13,4,1,0,2,Yes,Low,Medium
12756,Gaurav Malhotra,55,Male,Pune,HR,Team Lead,12,10/3/2013,0,Diploma,138946,49,7,27,6,38,5,3,1,2,No,High,Medium
12757,Tanya Chopra,30,Female,Noida,Compliance,Analyst,1,10/14/2024,1,Bachelor,40891,59,9,15,2,27,3,0,1,2,No,Low,Low
12758,Meena Tripathi,41,Male,Noida,Legal,Analyst,3,7/28/2022,1,Master,39215,54,8,74,3,12,4,0,0,3,No,Low,Low
12759,Meena Jain,29,Female,Mumbai,HR,Engineer,2,9/22/2023,0,PhD,64001,59,3,87,14,5,2,0,0,2,No,Low,Medium
12760,Rekha Khanna,38,Female,Chennai,Finance,Analyst,1,7/31/2024,0,Diploma,37371,46,3,80,3,2,3,0,0,2,No,Low,Low
12761,Neha Banerjee,44,Male,Gurgaon,Marketing,Engineer,4,12/28/2021,4,Master,51181,58,11,63,0,24,2,3,2,1,No,High,High
12762,Nikhil Kumar,26,Female,Hyderabad,Finance,Executive,2,9/21/2023,1,Bachelor,22366,41,5,60,9,25,1,0,2,1,No,Medium,High
12763,Akash Das,32,Male,Bangalore,Finance,Manager,9,7/31/2016,5,PhD,173214,52,3,43,12,35,4,0,0,1,No,Low,High
12764,Rakesh Verma,42,Female,Hyderabad,Legal,Engineer,3,1/18/2023,2,Bachelor,65968,54,10,94,10,1,2,1,1,1,No,Medium,Medium
12765,Aarti Kulkarni,41,Female,Bangalore,Sales,Engineer,4,8/7/2021,0,Master,63164,40,7,115,13,39,3,0,0,2,No,Low,Medium
12766,Isha Pandey,38,Male,Pune,Engineering,Senior Engineer,4,1/21/2022,2,Bachelor,94150,48,8,72,13,12,3,0,0,1,No,Low,Medium
12767,Tanya Iyer,27,Female,Mumbai,Finance,Executive,1,11/7/2024,0,Bachelor,25105,40,10,49,1,26,3,0,0,1,Yes,Low,Medium
12768,Shweta Das,41,Female,Mumbai,Legal,Engineer,2,11/24/2023,1,Master,81238,54,1,83,8,33,2,0,0,1,No,Low,Low
12769,Rakesh Bansal,39,Male,Pune,Marketing,Manager,15,8/25/2010,2,Bachelor,142755,52,6,113,10,26,5,1,0,2,No,Low,Medium
12770,Isha Singh,49,Male,Delhi,Legal,Manager,8,1/18/2018,2,Master,181460,46,1,46,9,4,4,0,1,2,No,Medium,Low
12771,Manish Iyer,34,Female,Gurgaon,IT Support,Analyst,0,10/19/2025,0,Bachelor,49669,41,5,69,6,29,1,1,0,1,No,Low,Low
12772,Amit Bansal,39,Female,Gurgaon,Marketing,Analyst,3,12/20/2022,0,Bachelor,38655,46,6,31,9,24,4,1,1,3,Yes,High,Medium
12773,Nikhil Deshpande,36,Male,Bangalore,HR,Analyst,1,12/21/2024,1,Diploma,40328,47,4,113,13,39,3,3,1,1,No,High,High
12774,Rakesh Bansal,36,Other,Delhi,HR,Manager,13,9/27/2012,4,Diploma,159981,44,2,1,7,29,4,1,0,2,No,Medium,High
12775,Deepak Joshi,57,Male,Delhi,Marketing,Senior Manager,21,11/14/2004,4,Diploma,262944,54,8,61,7,19,5,0,0,4,Yes,Low,Low
12776,Rahul Das,40,Female,Delhi,Sales,Engineer,1,1/7/2025,1,Diploma,55466,42,9,58,10,30,4,2,1,1,No,Low,High
12777,Anjali Verma,39,Male,Chennai,HR,Senior Engineer,9,9/6/2016,4,Diploma,114426,43,8,33,6,13,3,0,1,1,No,Medium,Low
12778,Shweta Banerjee,35,Male,Gurgaon,Engineering,Executive,2,8/5/2023,1,Bachelor,21631,58,1,69,2,2,2,0,0,1,No,Low,Medium
12779,Nikhil Gupta,36,Male,Mumbai,Operations,Engineer,3,10/20/2022,3,PhD,74171,48,1,94,11,37,3,1,0,2,Yes,Low,Medium
12780,Akash Sharma,31,Male,Delhi,HR,Executive,1,10/16/2024,0,Diploma,34287,42,3,11,11,37,3,0,0,2,Yes,Low,Medium
12781,Isha Chatterjee,35,Male,Gurgaon,Sales,Team Lead,12,12/3/2013,1,Bachelor,166564,40,10,92,3,9,4,0,1,2,Yes,Low,Medium
12782,Neha Agarwal,55,Female,Pune,IT Support,Team Lead,11,1/3/2015,4,Bachelor,133534,41,9,28,6,35,5,0,0,2,Yes,Low,Medium
12783,Seema Sharma,32,Female,Pune,Marketing,Senior Engineer,5,10/10/2020,2,PhD,129712,41,4,66,4,21,5,0,0,3,Yes,Low,Low
12784,Ashish Pandey,28,Female,Bangalore,Sales,Analyst,1,10/19/2024,0,Diploma,30981,47,6,102,5,30,2,0,0,2,No,Low,Medium
12785,Deepak Rao,38,Female,Pune,Compliance,Engineer,4,1/18/2022,2,Master,67137,45,4,104,10,35,3,0,0,3,No,Low,Low
12786,Anjali Singh,66,Male,Mumbai,Legal,Senior Manager,24,9/21/2001,5,Bachelor,241057,47,5,90,11,19,5,0,0,3,Yes,Low,Low
12787,Rahul Tiwari,31,Female,Mumbai,Sales,Executive,2,8/4/2023,0,Diploma,22168,58,11,111,9,3,3,0,0,2,No,Low,Low
12788,Anjali Iyer,28,Female,Noida,Operations,Engineer,5,8/12/2020,5,Master,79527,43,4,28,9,9,3,0,1,1,No,Low,Medium
12789,Seema Agarwal,47,Female,Noida,Legal,Team Lead,12,1/1/2014,5,Bachelor,108646,49,9,111,4,34,4,1,1,3,No,Medium,Low
12790,Riya Verma,31,Male,Hyderabad,Legal,Executive,1,10/13/2024,1,Diploma,26586,57,2,63,9,25,3,0,0,1,No,Low,Low
12791,Rohit Singh,41,Female,Delhi,Engineering,Team Lead,11,10/26/2014,0,Diploma,126311,55,3,115,10,2,5,0,0,3,No,Low,Low
12792,Pallavi Das,43,Male,Hyderabad,Operations,Executive,2,9/12/2023,1,Bachelor,22633,57,4,31,6,31,2,0,0,1,No,Low,High
12793,Sneha Mehta,43,Female,Delhi,Operations,Team Lead,8,10/9/2017,3,Bachelor,124871,58,7,39,2,25,4,1,1,2,No,Medium,Medium
12794,Kavita Deshpande,29,Female,Hyderabad,Legal,Senior Engineer,5,11/21/2020,2,Master,106425,40,6,107,12,17,4,0,0,3,Yes,Low,Low
12795,Meena Chatterjee,32,Female,Hyderabad,Finance,Team Lead,10,9/14/2015,1,Bachelor,130289,42,11,29,9,32,3,0,1,2,Yes,Low,Low
12796,Karan Chopra,32,Male,Mumbai,Engineering,Engineer,1,11/1/2024,1,Bachelor,68956,45,7,74,5,35,3,0,1,2,No,High,Low
12797,Rekha Naidu,33,Female,Delhi,Marketing,Engineer,4,12/27/2021,2,Bachelor,88717,51,5,110,4,3,3,2,2,2,No,High,Medium
12798,Amit Banerjee,31,Male,Noida,Operations,Analyst,0,10/31/2025,0,Bachelor,40296,49,5,10,14,11,3,0,0,2,No,Low,Medium
12799,Mohit Bansal,39,Male,Noida,Engineering,Analyst,3,11/24/2022,3,Bachelor,56077,52,5,32,12,15,2,0,1,1,No,Low,Low
12800,Rekha Deshpande,41,Female,Mumbai,HR,Engineer,2,11/17/2023,2,Bachelor,48258,58,2,25,8,4,2,3,0,2,No,High,High
12801,Akash Joshi,54,Male,Mumbai,HR,Senior Manager,16,10/17/2009,3,Diploma,206017,56,2,115,8,29,5,2,0,3,Yes,Medium,Low
12802,Mohit Agarwal,31,Female,Hyderabad,HR,Senior Engineer,4,12/26/2021,3,Bachelor,101768,49,1,1,10,26,2,1,0,1,No,Medium,Medium
12803,Manish Rao,35,Female,Mumbai,HR,Engineer,4,11/12/2021,0,Master,66401,56,10,13,10,28,4,0,0,3,Yes,Low,Low
12804,Neha Joshi,31,Male,Hyderabad,Marketing,Analyst,2,11/19/2023,0,Bachelor,42778,44,7,33,8,30,2,0,2,1,No,High,Medium
12805,Nisha Khanna,43,Female,Bangalore,HR,Senior Engineer,8,1/6/2018,5,Bachelor,86072,51,8,42,13,7,5,0,0,1,Yes,Low,Low
12806,Swati Tripathi,36,Male,Noida,Marketing,Manager,12,9/21/2013,0,Bachelor,185401,47,1,74,0,24,4,0,1,3,Yes,Low,Low
12807,Suresh Joshi,45,Female,Delhi,Engineering,Engineer,4,12/9/2021,4,Bachelor,79599,40,10,87,14,5,4,0,0,3,Yes,Medium,Low
12808,Aarti Agarwal,34,Male,Gurgaon,Compliance,Team Lead,12,9/16/2013,3,Diploma,136533,46,9,15,8,6,5,0,0,2,No,Medium,Medium
12809,Manish Chatterjee,45,Male,Ahmedabad,Finance,Engineer,4,9/24/2021,4,Master,55312,40,8,54,5,5,4,0,0,3,No,Low,Low
12810,Pooja Saxena,32,Male,Bangalore,IT Support,Executive,0,11/22/2025,0,Bachelor,39918,41,1,30,14,18,1,0,0,1,No,Low,Medium
12811,Gaurav Gupta,39,Male,Hyderabad,HR,Senior Engineer,7,1/19/2019,1,Master,131858,58,10,2,6,16,4,0,1,2,No,Low,Low
12812,Seema Chopra,36,Male,Mumbai,Engineering,Team Lead,9,9/10/2016,0,Bachelor,112778,53,9,47,11,19,4,0,0,2,No,Low,Medium
12813,Swati Deshpande,48,Male,Pune,Operations,Engineer,5,1/3/2021,0,Bachelor,81631,49,9,66,9,2,3,0,1,1,No,Low,Low
12814,Kavita Tiwari,38,Male,Ahmedabad,Operations,Executive,1,8/24/2024,0,Diploma,30830,55,5,54,6,5,4,0,0,2,No,Low,Low
12815,Rakesh Khanna,41,Male,Mumbai,HR,Senior Manager,13,8/17/2012,5,Bachelor,194851,54,3,82,8,18,5,1,0,4,Yes,Low,Low
12816,Mohit Das,56,Male,Bangalore,IT Support,Senior Manager,20,1/14/2006,5,Master,265437,57,7,103,8,22,5,1,0,4,Yes,Low,Low
12817,Riya Ghosh,44,Male,Noida,Marketing,Manager,12,1/3/2014,4,PhD,158666,47,2,98,6,16,4,0,0,2,No,Low,Medium
12818,Riya Bansal,45,Male,Delhi,Sales,Engineer,5,12/21/2020,1,Bachelor,54678,41,5,76,4,24,2,0,1,1,No,Medium,Medium
12819,Nisha Mehta,34,Male,Pune,Operations,Engineer,3,11/28/2022,2,Bachelor,78236,47,7,9,13,16,2,0,1,1,No,Low,Low
12820,Suresh Kulkarni,27,Male,Pune,Engineering,Engineer,4,12/15/2021,2,Bachelor,78394,58,9,6,14,16,3,0,0,2,Yes,Low,Low
12821,Suresh Tripathi,32,Male,Delhi,Marketing,Engineer,1,10/22/2024,0,Diploma,62849,42,7,94,9,31,3,0,0,1,No,Low,High
12822,Rahul Agarwal,42,Male,Gurgaon,Operations,Engineer,3,10/9/2022,0,Master,68383,50,6,76,1,37,3,0,0,3,No,Low,Low
12823,Mohit Kumar,32,Male,Delhi,Sales,Executive,1,1/2/2025,0,Diploma,27503,56,7,86,7,28,4,3,0,3,No,High,Medium
12824,Rohit Mukherjee,48,Male,Mumbai,HR,Manager,16,1/8/2010,1,Bachelor,143294,48,2,93,10,9,4,0,0,3,No,Low,Low
12825,Anjali Khanna,44,Male,Pune,Finance,Senior Engineer,4,11/13/2021,0,Bachelor,139783,43,5,9,8,39,3,0,1,1,Yes,Medium,Medium
12826,Suresh Chopra,53,Male,Chennai,Finance,Manager,12,8/7/2013,0,Bachelor,151936,58,8,8,3,3,5,0,0,2,Yes,Low,Low
12827,Manish Pandey,25,Male,Gurgaon,Marketing,Executive,1,10/14/2024,0,Master,23218,59,9,103,12,31,3,0,0,2,No,Low,High
12828,Ankit Khanna,36,Female,Mumbai,Legal,Senior Engineer,5,1/22/2021,3,Bachelor,108695,57,3,42,11,24,4,0,1,3,No,Low,Low
12829,Simran Das,24,Male,Noida,Engineering,Analyst,0,12/23/2025,0,Bachelor,43789,51,3,8,3,4,3,2,2,1,No,High,High
12830,Amit Jain,43,Female,Bangalore,IT Support,Analyst,0,11/24/2025,0,Bachelor,47038,49,6,113,6,23,3,2,0,2,No,Medium,Medium
12831,Arjun Chatterjee,44,Male,Gurgaon,IT Support,Manager,8,12/2/2017,2,Master,180058,56,2,2,10,9,4,0,0,2,No,Low,Medium
12832,Tanya Das,41,Male,Hyderabad,Legal,Senior Engineer,9,7/28/2016,0,Bachelor,116365,54,5,63,0,9,2,0,0,2,No,Low,Low
12833,Sneha Deshpande,37,Female,Noida,IT Support,Engineer,5,8/24/2020,3,Master,82882,47,4,51,8,29,3,1,1,2,No,Low,Medium
12834,Sanjay Deshpande,32,Male,Hyderabad,IT Support,Senior Engineer,5,8/14/2020,5,Bachelor,129411,53,9,10,12,13,4,0,0,2,No,Low,Medium
12835,Seema Bansal,49,Female,Gurgaon,Operations,Manager,9,12/31/2016,3,Master,211151,52,2,13,1,6,3,0,1,1,No,Low,Low
12836,Deepak Banerjee,43,Male,Gurgaon,Legal,Analyst,1,12/17/2024,0,Bachelor,46397,41,2,102,7,21,2,0,0,1,No,Low,Medium
12837,Sanjay Reddy,33,Male,Bangalore,Compliance,Engineer,5,11/20/2020,0,Diploma,47244,47,4,119,5,8,3,2,2,1,No,High,High
12838,Anjali Khanna,36,Male,Delhi,Operations,Engineer,4,10/11/2021,1,Bachelor,87310,42,4,35,10,28,4,3,2,2,No,High,Low
12839,Anjali Bansal,23,Female,Gurgaon,HR,Analyst,0,10/28/2025,0,Bachelor,38649,47,9,100,2,27,3,0,0,2,No,Low,Low
12840,Rohit Das,25,Male,Pune,Compliance,Analyst,2,1/10/2024,1,Bachelor,32892,53,8,73,1,18,2,0,0,2,Yes,Low,Medium
12841,Simran Tiwari,32,Male,Ahmedabad,IT Support,Senior Engineer,4,12/5/2021,4,Bachelor,95149,57,9,82,0,4,3,0,0,2,Yes,Low,Medium
12842,Neha Patel,49,Female,Noida,HR,Manager,15,11/23/2010,1,Master,199577,56,4,4,0,28,5,0,1,3,No,High,Low
12843,Pallavi Kumar,39,Male,Noida,Marketing,Senior Engineer,8,1/5/2018,4,Bachelor,115289,46,9,27,10,19,5,0,0,2,No,Low,Medium
12844,Prashant Rao,34,Female,Mumbai,Finance,Senior Engineer,7,9/5/2018,5,Master,109314,56,3,49,7,12,4,2,0,3,Yes,Medium,Low
12845,Rekha Jain,38,Male,Hyderabad,Sales,Senior Manager,16,11/11/2009,5,Master,271686,59,7,9,3,4,5,0,0,2,Yes,Low,Low
12846,Kavita Singh,32,Male,Delhi,IT Support,Senior Engineer,7,12/20/2018,0,Bachelor,135840,42,3,114,13,0,2,0,0,1,No,Low,Medium
12847,Manish Verma,30,Male,Chennai,Sales,Senior Engineer,6,1/13/2020,2,Master,87617,56,5,107,12,5,3,2,0,2,No,Low,Medium
12848,Rohit Iyer,33,Male,Chennai,Operations,Executive,2,1/12/2024,0,Bachelor,26828,49,6,107,7,1,4,0,0,2,No,Low,Low
12849,Sanjay Sharma,44,Female,Mumbai,IT Support,Executive,1,9/16/2024,1,Diploma,29095,45,6,12,14,3,4,0,1,2,No,Medium,Low
12850,Sanjay Patel,40,Female,Bangalore,Sales,Engineer,3,8/30/2022,0,Diploma,69980,53,1,73,0,21,2,0,0,1,No,Medium,High
12851,Manish Chopra,41,Female,Pune,Marketing,Senior Engineer,8,11/20/2017,1,Master,96393,54,10,39,1,37,4,0,1,2,No,Medium,Low
12852,Seema Pandey,39,Male,Gurgaon,HR,Analyst,2,12/20/2023,1,Master,56247,55,4,112,12,13,2,0,0,2,Yes,Low,Low
12853,Rohit Chopra,33,Male,Pune,Marketing,Engineer,3,9/1/2022,0,Diploma,69282,55,4,8,6,25,2,0,1,1,No,Low,Low
12854,Gaurav Verma,36,Male,Chennai,HR,Senior Engineer,4,8/31/2021,0,Master,88515,46,9,82,11,16,4,0,1,2,No,Medium,Medium
12855,Suresh Das,25,Male,Noida,HR,Executive,2,8/15/2023,1,Bachelor,28288,48,6,4,13,13,3,0,0,2,No,Low,Low
12856,Manish Kulkarni,37,Female,Mumbai,Finance,Executive,0,1/4/2026,0,Bachelor,39754,49,1,77,0,10,2,0,1,1,Yes,Medium,Medium
12857,Sunita Khanna,37,Other,Noida,Sales,Senior Engineer,7,9/16/2018,4,Bachelor,138184,53,6,9,4,31,3,0,0,1,Yes,Low,Medium
12858,Karan Reddy,60,Male,Bangalore,Sales,Senior Manager,24,1/24/2002,4,Bachelor,245118,41,6,88,11,6,5,0,1,3,Yes,Medium,Low
12859,Rakesh Chopra,44,Female,Gurgaon,Engineering,Manager,10,8/25/2015,4,Bachelor,181158,53,10,51,10,9,5,0,0,3,No,Low,Low
12860,Riya Ghosh,45,Female,Hyderabad,Finance,Engineer,2,12/23/2023,2,Diploma,53534,45,11,15,14,13,2,2,2,1,No,High,High
12861,Gaurav Das,44,Male,Delhi,HR,Analyst,0,1/1/2026,0,Master,35918,57,11,4,6,24,3,0,0,2,Yes,Low,Medium
12862,Swati Gupta,47,Female,Delhi,Sales,Team Lead,8,12/17/2017,2,Bachelor,118948,48,9,14,5,17,5,0,1,4,No,Medium,Low
12863,Seema Jain,40,Female,Noida,Operations,Executive,1,1/7/2025,1,Bachelor,29105,55,9,81,2,9,3,0,1,2,Yes,Low,Medium
12864,Isha Jain,28,Male,Bangalore,Operations,Engineer,4,10/8/2021,2,Diploma,70156,42,8,109,12,8,3,0,0,2,No,Low,Low
